path;nombre;temp;csv listo;csv procesado;min;max;inicial;final;rangos +1
C:\Users\CCVV\Desktop\2016-06-26 1cc54C.csv;2016-06-26 1cc54C.csv;54,4;x;;27;54;82;1545;10
C:\Users\CCVV\Desktop\2016-06-27 25cc58C.csv;2016-06-27 25cc58C.csv;58;x;;27;65;29;2213;10
C:\Users\CCVV\Desktop\2016-06-28 10cc58C.csv;2016-06-28 10cc58C.csv;59,9;x;;27,5;59;17;1990;10
C:\Users\CCVV\Desktop\2016-07-13 5cc57C.csv;2016-07-13 5cc57C.csv;58,6;x;;26,5;58;24;2500;10
C:\Users\CCVV\Desktop\2016-07-18 10cc50C.csv;2016-07-18 10cc50C.csv;49,6;x;;28,3;55;22;1600;10
C:\Users\CCVV\Desktop\2016-07-19 5cc50C.csv;2016-07-19 5cc50C.csv;53,1;x;;27,3;52;33;1900;10
C:\Users\CCVV\Desktop\2016-07-20 5a25cc55C.csv;2016-07-20 5a25cc55C.csv;55,8;x;;27;53;20;2000;10
C:\Users\CCVV\Desktop\2016-07-22 5cc60C.csv;2016-07-22 5cc60C.csv;56,9;x;;28;57;30;2000;10
C:\Users\CCVV\Desktop\2016-09-27 10cc60C #2.csv;2016-09-27 10cc60C #2.csv;57;x;x;25;61;13;2450;10
C:\Users\CCVV\Desktop\09-30 5cc50C #1.csv;09-30 5cc50C #1.csv;48;x;;25;50;35;2100;10
C:\Users\CCVV\Desktop\2016-09-30 10cc50C #2.csv;2016-09-30 10cc50C #2.csv;50,2;x;;26;51;14;2020;10
C:\Users\CCVV\Desktop\2016-10-04 1cc60C #1.csv;2016-10-04 1cc60C #1.csv;52;x;;24;54,4;24;3500;10
